"","CheckoutYear","CheckoutMonth","MaterialType","Checkouts","Title","YrMon","date_full"
"168",2007,12,"BOOK",13,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Dec 2007,2007-12-01
"169",2008,1,"BOOK",19,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jan 2008,2008-01-01
"170",2008,1,"BOOK",3,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jan 2008,2008-01-01
"171",2008,2,"BOOK",5,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Feb 2008,2008-02-01
"172",2008,2,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Feb 2008,2008-02-01
"173",2008,3,"BOOK",16,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Mar 2008,2008-03-01
"174",2008,4,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Apr 2008,2008-04-01
"175",2008,4,"BOOK",2,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Apr 2008,2008-04-01
"176",2008,5,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",May 2008,2008-05-01
"177",2008,5,"BOOK",3,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",May 2008,2008-05-01
"178",2008,6,"BOOK",19,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jun 2008,2008-06-01
"179",2008,6,"BOOK",4,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jun 2008,2008-06-01
"180",2008,7,"BOOK",11,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jul 2008,2008-07-01
"181",2008,7,"BOOK",23,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jul 2008,2008-07-01
"182",2008,7,"BOOK",2,"Nineteen eighty-four [text (large print)] / George Orwell.",Jul 2008,2008-07-01
"183",2008,8,"BOOK",11,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Aug 2008,2008-08-01
"184",2008,8,"BOOK",22,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Aug 2008,2008-08-01
"185",2008,9,"BOOK",14,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Sep 2008,2008-09-01
"186",2008,9,"BOOK",18,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Sep 2008,2008-09-01
"187",2008,10,"BOOK",16,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Oct 2008,2008-10-01
"188",2008,10,"BOOK",11,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Oct 2008,2008-10-01
"189",2008,11,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Nov 2008,2008-11-01
"190",2008,11,"BOOK",20,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Nov 2008,2008-11-01
"191",2008,12,"BOOK",13,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Dec 2008,2008-12-01
"192",2008,12,"BOOK",10,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Dec 2008,2008-12-01
"193",2009,1,"BOOK",14,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jan 2009,2009-01-01
"194",2009,1,"BOOK",10,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jan 2009,2009-01-01
"195",2009,2,"BOOK",11,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Feb 2009,2009-02-01
"196",2009,2,"BOOK",15,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Feb 2009,2009-02-01
"197",2009,3,"BOOK",1,"Nineteen eighty-four [text (large print)] / George Orwell.",Mar 2009,2009-03-01
"198",2009,3,"BOOK",9,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Mar 2009,2009-03-01
"199",2009,3,"BOOK",9,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Mar 2009,2009-03-01
"200",2009,4,"BOOK",19,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Apr 2009,2009-04-01
"201",2009,4,"BOOK",14,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Apr 2009,2009-04-01
"202",2009,5,"BOOK",15,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",May 2009,2009-05-01
"203",2009,5,"BOOK",7,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",May 2009,2009-05-01
"204",2009,6,"BOOK",24,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jun 2009,2009-06-01
"205",2009,6,"BOOK",17,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jun 2009,2009-06-01
"206",2009,7,"BOOK",20,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Jul 2009,2009-07-01
"207",2009,7,"BOOK",13,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Jul 2009,2009-07-01
"208",2009,8,"BOOK",19,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Aug 2009,2009-08-01
"209",2009,8,"BOOK",11,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Aug 2009,2009-08-01
"210",2009,9,"BOOK",16,"Nineteen eighty-four / a novel by George Orwell ; with a foreword by Thomas Pynchon ; with an afterword by Erich Fromm.",Sep 2009,2009-09-01
"211",2009,9,"BOOK",7,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Sep 2009,2009-09-01
"212",2009,10,"BOOK",13,"Nineteen eighty-four / George Orwell ; with an introduction by Julian Symonds.",Oct 2009,2009-10-01
