UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
Physical,Horizon,SOUNDDISC,2016,7,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2016,7,5,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2016,7,5,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,VIDEODISC,2016,7,26,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2016,8,5,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,VIDEODISC,2016,8,25,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2016,8,4,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,EBOOK,2016,8,17,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,8,21,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2016,8,6,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2016,9,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Digital,OverDrive,AUDIOBOOK,2016,9,22,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,EBOOK,2016,9,21,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2016,9,4,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,BOOK,2016,9,6,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,VIDEODISC,2016,9,21,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2016,9,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,EBOOK,2016,10,19,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Literature, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2016,10,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2016,10,6,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2016,10,17,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2016,10,5,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2014
Physical,Horizon,VIDEODISC,2016,10,27,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,BOOK,2016,10,2,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,EBOOK,2016,11,14,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Science Fiction","Random House, Inc.",2011
Physical,Horizon,VIDEODISC,2016,11,18,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2016,11,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2016,11,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror",Books on Tape,2014
Physical,Horizon,BOOK,2016,11,4,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2016,11,17,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2016,12,8,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror",Books on Tape,2006
Physical,Horizon,BOOK,2016,12,3,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,SOUNDDISC,2016,12,1,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,EBOOK,2016,12,18,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2016,12,2,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,VIDEODISC,2016,12,21,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2016,12,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror",Books on Tape,2014
Digital,OverDrive,EBOOK,2017,1,16,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Science Fiction","Random House, Inc.",2011
Physical,Horizon,VIDEODISC,2017,1,16,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2017,1,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror",Books on Tape,2014
Digital,OverDrive,AUDIOBOOK,2017,1,12,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2017,1,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2017,1,1,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,BOOK,2017,1,4,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2017,2,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror",Books on Tape,2014
Digital,OverDrive,EBOOK,2017,2,11,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Science Fiction","Random House, Inc.",2011
Physical,Horizon,SOUNDDISC,2017,2,1,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Digital,OverDrive,AUDIOBOOK,2017,2,19,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror",Books on Tape,2006
Physical,Horizon,BOOK,2017,2,3,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Physical,Horizon,VIDEODISC,2017,2,14,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Physical,Horizon,SOUNDDISC,2017,2,1,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2017,3,1,World War Z : an oral history of the zombie war / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Horror fiction, War stories","Three Rivers Press,",c2006.
Digital,OverDrive,AUDIOBOOK,2017,3,3,World War Z: The Complete Edition (Movie Tie-in Edition): an Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror",Books on Tape,2014
Digital,OverDrive,EBOOK,2017,3,16,World War Z: An Oral History of the Zombie War,Max Brooks,"Fiction, Horror, Science Fiction","Random House, Inc.",2011
Physical,Horizon,VIDEODISC,2017,3,9,"World War Z [videorecording] / Paramount ; Skydance Productions ; Hemisphere ; GK Films ; a Plan B Entertainment/2Dux2 production ; produced by Brad Pitt, Dede Gardner, Jeremy Kleiner, Ian Bryce ; screen story by Matthew Michael Carnahan and J. Michael Straczynski ; screenplay by Matthew Michael Carnahan and Drew Goodard & Damon Lindelof ; directed by Marc Forster.",,"Zombies Drama, Feature films, Fiction films, Horror films, Disaster films, Action and adventure films, Video recordings for the hearing impaired, Video recordings for people with visual disabilities","Paramount,",c2013.
Digital,OverDrive,AUDIOBOOK,2017,3,27,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2017,3,2,World War Z [sound recording] : [an oral history of the zombie war] / Max Brooks.,"Brooks, Max","Zombies Fiction, Imaginary wars and battles Fiction, Science fiction, Black humor Literature","Random House Audio : Books on Tape,",p2013.
Physical,Horizon,BOOK,2006,10,5,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2006,11,10,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2006,12,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2006,12,17,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2007,1,20,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2007,2,6,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2007,2,13,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2007,3,22,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2007,3,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2007,3,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2007,4,24,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2007,4,4,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2007,4,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2007,4,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2007,5,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2007,5,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2007,5,23,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2007,5,2,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2007,6,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2007,6,21,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2007,6,2,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,BOOK,2007,7,18,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2007,7,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2007,7,2,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2007,7,3,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,SOUNDDISC,2007,8,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2007,8,4,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,BOOK,2007,8,19,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2007,8,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2007,9,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Digital,OverDrive,AUDIOBOOK,2007,9,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,BOOK,2007,9,18,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2007,9,3,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,SOUNDDISC,2007,10,5,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2007,10,17,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
Physical,Horizon,BOOK,2007,10,2,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Physical,Horizon,BOOK,2007,11,1,World War Z an oral history of the zombie war,,"Large type books, Horror fiction, War stories, Zombies Fiction",,
Digital,OverDrive,AUDIOBOOK,2007,11,1,World War Z: An Oral History of the Zombie War (abridged) (Abridged),Max Brooks,"Fiction, Horror, Literature",Books on Tape,2006
Physical,Horizon,SOUNDDISC,2007,11,4,World War Z [sound recording] / Max Brooks.,"Brooks, Max","Imaginary wars and battles Fiction, Zombies Fiction, Horror fiction","Books on Tape,",p2006.
Physical,Horizon,BOOK,2007,11,21,World War Z an oral history of the zombie war,,"Imaginary wars and battles Fiction, Zombies Fiction",,
